n,arch,status,test_rmse,elapsed_sec,data_train_fraction,seed
72,EDR,ok,0.054444,0,1,42
71,EDR,ok,0.054795,0,1,42
20,EDR,ok,0.054958,0,1,42
21,EDR,ok,0.055026,0,1,42
22,EDR,ok,0.055512,0,1,42
23,EDR,ok,0.055846,0,1,42
24,EDR,ok,0.055987,0,1,42
25,EDR,ok,0.05604,0,1,42
26,EDR,ok,0.056211,0,1,42
27,EDR,ok,0.05646,0,1,42
28,EDR,ok,0.056498,0,1,42
29,EDR,ok,0.056606,0,1,42
30,EDR,ok,0.05684,0,1,42
31,EDR,ok,0.056907,0,1,42
32,EDR,ok,0.057066,0,1,42
33,EDR,ok,0.057175,0,1,42
34,EDR,ok,0.05738,0,1,42
19,EDR,ok,0.057633,0,1,42
18,EDR,ok,0.057695,0,1,42
17,EDR,ok,0.05784,0,1,42
8,EDR,ok,0.058076,0,1,42
2,EDR,ok,0.058115,0,1,42
3,EDR,ok,0.058146,0,1,42
4,EDR,ok,0.058325,0,1,42
5,EDR,ok,0.058367,0,1,42
6,EDR,ok,0.058649,0,1,42
7,EDR,ok,0.058653,0,1,42
9,EDR,ok,0.058694,0,1,42
16,EDR,ok,0.058787,0,1,42
10,EDR,ok,0.0588,0,1,42
11,EDR,ok,0.059056,0,1,42
12,EDR,ok,0.059161,0,1,42
13,EDR,ok,0.059204,0,1,42
14,EDR,ok,0.059281,0,1,42
15,EDR,ok,0.05959,0,1,42
35,EDR,ok,0.05974,0,1,42
36,EDR,ok,0.059801,0,1,42
37,EDR,ok,0.059972,0,1,42
63,EDR,ok,0.060009,0,1,42
57,EDR,ok,0.060178,0,1,42
58,EDR,ok,0.060311,0,1,42
59,EDR,ok,0.060376,0,1,42
60,EDR,ok,0.060612,0,1,42
61,EDR,ok,0.060681,0,1,42
62,EDR,ok,0.060846,0,1,42
64,EDR,ok,0.060919,0,1,42
55,EDR,ok,0.061102,0,1,42
65,EDR,ok,0.061345,0,1,42
66,EDR,ok,0.061613,0,1,42
67,EDR,ok,0.061926,0,1,42
68,EDR,ok,0.061941,0,1,42
69,EDR,ok,0.06202,0,1,42
70,EDR,ok,0.062038,0,1,42
56,EDR,ok,0.062162,0,1,42
54,EDR,ok,0.062246,0,1,42
38,EDR,ok,0.062335,0,1,42
45,EDR,ok,0.062338,0,1,42
39,EDR,ok,0.062426,0,1,42
40,EDR,ok,0.062517,0,1,42
41,EDR,ok,0.062742,0,1,42
42,EDR,ok,0.062814,0,1,42
43,EDR,ok,0.062883,0,1,42
44,EDR,ok,0.063008,0,1,42
46,EDR,ok,0.063094,0,1,42
53,EDR,ok,0.063153,0,1,42
47,EDR,ok,0.063271,0,1,42
48,EDR,ok,0.063302,0,1,42
49,EDR,ok,0.063383,0,1,42
50,EDR,ok,0.063514,0,1,42
51,EDR,ok,0.063542,0,1,42
